,날짜,종가,등락율
281,2001-03-05,3720,3.05
282,2001-03-06,3800,2.15
283,2001-03-07,4000,5.26
284,2001-03-08,4010,0.25
285,2001-03-09,3840,-4.24
286,2001-03-12,3670,-4.43
287,2001-03-13,3640,-0.82
288,2001-03-14,3900,7.14
289,2001-03-15,3920,0.51
290,2001-03-16,3890,-0.77
291,2001-03-19,3800,-2.31
292,2001-03-20,3820,0.53
293,2001-03-21,3870,1.31
294,2001-03-22,3980,2.84
295,2001-03-23,4300,8.04
296,2001-03-26,4340,0.93
297,2001-03-27,4150,-4.38
298,2001-03-28,4150,0.0
299,2001-03-29,4090,-1.45
300,2001-03-30,4160,1.71
301,2001-04-02,3990,-4.09
302,2001-04-03,3800,-4.76
303,2001-04-04,3660,-3.68
304,2001-04-06,3840,4.92
305,2001-04-09,3710,-3.39
306,2001-04-10,3640,-1.89
307,2001-04-11,3720,2.2
308,2001-04-12,4010,7.8
309,2001-04-13,4060,1.25
310,2001-04-16,3940,-2.96
311,2001-04-17,3970,0.76
312,2001-04-18,4280,7.81
313,2001-04-19,4700,9.81
314,2001-04-20,4490,-4.47
315,2001-04-23,4540,1.11
316,2001-04-24,4400,-3.08
317,2001-04-25,4520,2.73
318,2001-04-26,4470,-1.11
319,2001-04-27,4340,-2.91
320,2001-04-30,4580,5.53
321,2001-05-02,4580,0.0
322,2001-05-03,4600,0.44
323,2001-05-04,4460,-3.04
324,2001-05-07,4600,3.14
325,2001-05-08,4590,-0.22
326,2001-05-09,4500,-1.96
327,2001-05-10,4500,0.0
328,2001-05-11,4410,-2.0
329,2001-05-14,4430,0.45
330,2001-05-15,4340,-2.03
331,2001-05-16,4210,-3.0
332,2001-05-17,4430,5.23
333,2001-05-18,4410,-0.45
334,2001-05-21,4580,3.85
335,2001-05-22,4620,0.87
336,2001-05-23,4700,1.73
337,2001-05-24,4530,-3.62
338,2001-05-25,4440,-1.99
339,2001-05-28,4450,0.23
340,2001-05-29,4640,4.27
341,2001-05-30,4470,-3.66
342,2001-05-31,4240,-5.15
343,2001-06-01,4240,0.0
344,2001-06-04,4240,0.0
345,2001-06-05,4060,-4.25
346,2001-06-07,4280,5.42
347,2001-06-08,4470,4.44
348,2001-06-11,4280,-4.25
349,2001-06-12,4220,-1.4
350,2001-06-13,4280,1.42
351,2001-06-14,4230,-1.17
352,2001-06-15,4190,-0.95
353,2001-06-18,4100,-2.15
354,2001-06-19,4110,0.24
355,2001-06-20,4000,-2.68
356,2001-06-21,3960,-1.0
357,2001-06-22,3870,-2.27
358,2001-06-25,3870,0.0
359,2001-06-26,3780,-2.33
360,2001-06-27,3720,-1.59
361,2001-06-28,3750,0.81
362,2001-06-29,3840,2.4
363,2001-07-02,3860,0.52
364,2001-07-03,3890,0.78
365,2001-07-04,3940,1.29
366,2001-07-05,3860,-2.03
367,2001-07-06,3670,-4.92
368,2001-07-09,3420,-6.81
369,2001-07-10,3400,-0.58
370,2001-07-11,3380,-0.59
371,2001-07-12,3520,4.14
372,2001-07-13,3400,-3.41
373,2001-07-16,3340,-1.76
374,2001-07-18,3350,0.3
375,2001-07-19,3540,5.67
376,2001-07-20,3520,-0.56
377,2001-07-23,3460,-1.7
378,2001-07-24,3470,0.29
379,2001-07-25,3570,2.88
380,2001-07-26,3630,1.68
381,2001-07-27,3710,2.2
382,2001-07-30,3710,0.0
383,2001-07-31,3790,2.16
384,2001-08-01,3960,4.49
385,2001-08-02,3910,-1.26
386,2001-08-03,3990,2.05
387,2001-08-06,3980,-0.25
388,2001-08-07,3860,-3.02
389,2001-08-08,3800,-1.55
390,2001-08-09,3660,-3.68
391,2001-08-10,3730,1.91
392,2001-08-13,3830,2.68
393,2001-08-14,3950,3.13
394,2001-08-16,3900,-1.27
395,2001-08-17,3920,0.51
396,2001-08-20,3800,-3.06
397,2001-08-21,3720,-2.11
398,2001-08-22,3850,3.49
399,2001-08-23,3850,0.0
400,2001-08-24,3840,-0.26
401,2001-08-27,3980,3.65
402,2001-08-28,3940,-1.01
403,2001-08-29,3930,-0.25
404,2001-08-30,3920,-0.25
405,2001-08-31,3800,-3.06
406,2001-09-03,3760,-1.05
407,2001-09-04,3930,4.52
408,2001-09-05,3790,-3.56
409,2001-09-06,3770,-0.53
410,2001-09-07,3820,1.33
411,2001-09-10,3830,0.26
412,2001-09-11,3740,-2.35
413,2001-09-12,3230,-13.64
414,2001-09-13,3430,6.19
415,2001-09-14,3390,-1.17
416,2001-09-17,3280,-3.24
417,2001-09-18,3350,2.13
418,2001-09-19,3280,-2.09
419,2001-09-20,3080,-6.1
420,2001-09-21,2850,-7.47
421,2001-09-24,2960,3.86
422,2001-09-25,2860,-3.38
423,2001-09-26,2830,-1.05
424,2001-09-27,2810,-0.71
425,2001-09-28,2800,-0.36
426,2001-10-04,2910,3.93
427,2001-10-05,2950,1.37
428,2001-10-08,2920,-1.02
429,2001-10-09,3030,3.77
430,2001-10-10,2980,-1.65
431,2001-10-11,3180,6.71
432,2001-10-12,3260,2.52
433,2001-10-15,3200,-1.84
434,2001-10-16,3180,-0.62
435,2001-10-17,3280,3.14
436,2001-10-18,3260,-0.61
437,2001-10-19,3400,4.29
438,2001-10-22,3390,-0.29
439,2001-10-23,3480,2.65
440,2001-10-24,3710,6.61
